,Country,Country Code,Year,Exports (% of GDP),FDI (% of GDP),GDP (USD),Imports (% of GDP),Inflation (%),Density (p/km2),Population,Unemployment (% of total labor force)
0,Brunei Darussalam,BRN,1960,0.0,0.0,0.0,0.0,0.0,16.99449715,85346.0,0.0
1,Brunei Darussalam,BRN,1961,0.0,0.0,0.0,0.0,0.0,16.99449715,89561.0,0.0
2,Brunei Darussalam,BRN,1962,0.0,0.0,0.0,0.0,0.0,17.80588235,93837.0,0.0
3,Brunei Darussalam,BRN,1963,0.0,0.0,0.0,0.0,0.0,18.6483871,98277.0,0.0
4,Brunei Darussalam,BRN,1964,0.0,0.0,0.0,0.0,0.0,19.52637571,102904.0,0.0
5,Brunei Darussalam,BRN,1965,0.0,0.0,0.0,0.0,0.0,20.43377609,107686.0,0.0
6,Brunei Darussalam,BRN,1966,0.0,0.0,0.0,0.0,0.0,21.36565465,112597.0,0.0
7,Brunei Darussalam,BRN,1967,0.0,0.0,0.0,0.0,0.0,22.32030361,117628.0,0.0
8,Brunei Darussalam,BRN,1968,0.0,0.0,0.0,0.0,0.0,23.29487666,122764.0,0.0
9,Brunei Darussalam,BRN,1969,0.0,0.0,0.0,0.0,0.0,24.29070209,128012.0,0.0
10,Brunei Darussalam,BRN,1970,0.0,47.76075082,0.0,0.0,0.0,25.30227704,133343.0,0.0
11,Brunei Darussalam,BRN,1971,0.0,-8.885033173,0.0,0.0,0.0,26.31233397,138666.0,0.0
12,Brunei Darussalam,BRN,1972,0.0,-1.395768428,0.0,0.0,0.0,27.3028463,143886.0,0.0
13,Brunei Darussalam,BRN,1973,0.0,0.066960368,0.0,0.0,0.0,28.28557875,149065.0,0.0
14,Brunei Darussalam,BRN,1974,90.0542772,0.193744821,6708427943.0,17.35341335,0.0,29.28159393,154314.0,0.0
15,Brunei Darussalam,BRN,1975,90.05919723,0.072755017,6732273927.0,23.42622004,0.0,30.29468691,159653.0,0.0
16,Brunei Darussalam,BRN,1976,93.65490174,-2.170672393,8089190286.0,18.25886636,0.0,31.32144213,165064.0,0.0
17,Brunei Darussalam,BRN,1977,94.63423867,-0.189874752,8972262684.0,16.08782057,0.0,32.36432638,170560.0,0.0
18,Brunei Darussalam,BRN,1978,95.01268346,0.235372803,9580208347.0,14.47273057,0.0,33.42998102,176176.0,0.0
19,Brunei Darussalam,BRN,1979,95.06158666,0.012483148,11741736031.0,14.13786882,0.0,34.52580645,181951.0,0.0
20,Brunei Darussalam,BRN,1980,93.36150697,-0.397052039,10920201635.0,11.66426622,0.0,35.65863378,187921.0,0.0
21,Brunei Darussalam,BRN,1981,93.1432598,-0.254453865,8755084285.0,13.71348041,9.137055838,36.83092979,194099.0,0.0
22,Brunei Darussalam,BRN,1982,89.3430497,0.145629281,9101492760.0,17.22645335,6.356589147,38.07020873,200630.0,0.0
23,Brunei Darussalam,BRN,1983,88.27041199,0.094155024,9147133649.0,18.98103128,1.166180758,39.37817837,207523.0,0.0
24,Brunei Darussalam,BRN,1984,0.0,0.021149904,9202005158.0,0.0,3.073967339,40.73662239,214682.0,0.0
25,Brunei Darussalam,BRN,1985,0.0,0.104154467,9064826350.0,0.0,2.353215284,42.14781784,222119.0,0.0
26,Brunei Darussalam,BRN,1986,0.0,-0.256508875,8818673714.0,0.0,1.781242886,43.60815939,229815.0,0.0
27,Brunei Darussalam,BRN,1987,0.0,-0.00254133,8995852317.0,0.0,1.246854906,45.10664137,237712.0,0.0
28,Brunei Darussalam,BRN,1988,0.0,0.017095811,9094569847.0,0.0,1.192842942,46.62789374,245729.0,0.0
29,Brunei Darussalam,BRN,1989,61.81131861,0.334955862,8996877926.0,35.20789195,1.304300371,48.16337761,253821.0,0.0
